s n m tiempo
1 7 69 145.80000000
1 7 70 191.50000000
1 7 71 218.30000000
1 7 72 179.10000000
1 7 73 188.10000000
1 7 74 191.40000000
1 7 75 162.90000000
1 7 76 183.60000000
1 7 77 190.80000000
1 7 78 193.50000000
1 7 79 185.80000000
1 7 80 168.20000000
1 7 81 204.60000000
1 7 82 187.80000000
1 7 83 156.00000000
1 7 84 197.80000000
1 7 85 189.40000000
1 7 86 189.20000000
1 7 87 177.50000000
1 7 88 192.30000000
1 7 89 238.30000000
1 7 90 175.40000000
1 7 91 198.30000000
1 7 92 169.30000000
1 7 93 178.40000000
1 7 94 220.80000000
1 7 95 206.90000000
1 7 96 200.80000000
1 7 97 208.20000000
1 7 98 200.90000000
1 7 99 2011.80000000
1 7 100 235.30000000
1 8 1 142.50000000
1 8 2 132.70000000
1 8 3 136.60000000
1 8 4 144.50000000
1 8 5 136.20000000
1 8 6 123.00000000
1 8 7 121.40000000
1 8 8 148.90000000
1 8 9 143.30000000
1 8 10 135.40000000
1 8 11 130.80000000
1 8 12 165.60000000
1 8 13 226.60000000
1 8 14 146.00000000
1 8 15 150.00000000
1 8 16 126.70000000
1 8 17 122.70000000
1 8 18 132.00000000
1 8 19 116.30000000
1 8 20 123.30000000
1 8 21 129.70000000
1 8 22 124.40000000
1 8 23 126.60000000
1 8 24 118.20000000
1 8 25 116.30000000
1 8 26 132.20000000
1 8 27 122.70000000
1 8 28 123.80000000
1 8 29 129.00000000
1 8 30 155.80000000
1 8 31 184.30000000
1 8 32 123.10000000
1 8 33 130.40000000
1 8 34 131.20000000
1 8 35 166.20000000
1 8 36 137.70000000
1 8 37 133.70000000
1 8 38 129.40000000
1 8 39 134.60000000
1 8 40 135.40000000
1 8 41 140.60000000
1 8 42 153.80000000
1 8 43 145.80000000
1 8 44 146.20000000
1 8 45 168.90000000
1 8 46 180.40000000
1 8 47 167.20000000
1 8 48 181.80000000
1 8 49 163.10000000
1 8 50 156.10000000
1 8 51 158.70000000
1 8 52 174.60000000
1 8 53 178.30000000
1 8 54 175.80000000
1 8 55 167.50000000
1 8 56 163.90000000
1 8 57 203.20000000
1 8 58 171.20000000
1 8 59 161.70000000
1 8 60 232.60000000
1 8 61 168.20000000
1 8 62 202.20000000
1 8 63 184.90000000
1 8 64 155.00000000
1 8 65 144.90000000
1 8 66 166.50000000
1 8 67 186.90000000
1 8 68 205.50000000
1 8 69 185.50000000
1 8 70 205.40000000
1 8 71 179.10000000
1 8 72 170.40000000
1 8 73 153.50000000
1 8 74 170.80000000
1 8 75 183.30000000
1 8 76 194.00000000
1 8 77 235.90000000
1 8 78 239.80000000
1 8 79 197.30000000
1 8 80 242.00000000
1 8 81 227.80000000
1 8 82 183.90000000
1 8 83 218.70000000
1 8 84 205.30000000
1 8 85 189.90000000
1 8 86 187.20000000
1 8 87 182.10000000
1 8 88 209.10000000
1 8 89 222.40000000
1 8 90 188.00000000
1 8 91 186.00000000
1 8 92 239.50000000
1 8 93 180.90000000
1 8 94 212.60000000
1 8 95 172.70000000
1 8 96 172.70000000
1 8 97 257.20000000
1 8 98 181.00000000
1 8 99 180.60000000
1 8 100 201.80000000
1 9 1 130.90000000
1 9 2 129.10000000
1 9 3 193.00000000
1 9 4 161.40000000
1 9 5 128.70000000
1 9 6 117.70000000
1 9 7 129.00000000
1 9 8 114.30000000
1 9 9 135.50000000
1 9 10 114.60000000
1 9 11 131.20000000
1 9 12 134.40000000
1 9 13 134.10000000
1 9 14 127.60000000
1 9 15 124.20000000
1 9 16 125.70000000
1 9 17 155.00000000
1 9 18 124.50000000
1 9 19 152.80000000
1 9 20 171.30000000
1 9 21 137.00000000
1 9 22 129.70000000
1 9 23 127.20000000
1 9 24 164.90000000
1 9 25 130.30000000
1 9 26 130.30000000
1 9 27 132.40000000
1 9 28 161.50000000
1 9 29 125.10000000
1 9 30 127.70000000
1 9 31 162.90000000
1 9 32 122.00000000
1 9 33 146.80000000
1 9 34 121.80000000
1 9 35 119.70000000
1 9 36 116.20000000
1 9 37 149.50000000
1 9 38 121.30000000
1 9 39 121.00000000
1 9 40 121.30000000
1 9 41 144.10000000
1 9 42 122.30000000
