n km kb nanosegundos km*kb n*km*kb div-(km*kb) div-(n*km*kb)
19 2 19 3730200.00000000 38 722 98163.15789474 5166.48199446
19 18 9 3782900.00000000 162 3078 23351.23456790 1229.01234568
20 3 17 2768300.00000000 51 1020 54280.39215686 2714.01960784
20 1 14 3232300.00000000 14 280 230878.57142857 11543.92857143
20 2 1 2795000.00000000 2 40 1397500.00000000 69875.00000000
20 13 10 3695700.00000000 130 2600 28428.46153846 1421.42307692
20 8 13 3460300.00000000 104 2080 33272.11538462 1663.60576923
20 9 13 3769900.00000000 117 2340 32221.36752137 1611.06837607
20 7 15 5152200.00000000 105 2100 49068.57142857 2453.42857143
20 11 8 3647300.00000000 88 1760 41446.59090909 2072.32954545
20 8 3 3663900.00000000 24 480 152662.50000000 7633.12500000
20 15 19 5898800.00000000 285 5700 20697.54385965 1034.87719298
21 15 4 4925100.00000000 60 1260 82085.00000000 3908.80952381
21 9 19 3934800.00000000 171 3591 23010.52631579 1095.73934837
21 11 7 4909400.00000000 77 1617 63758.44155844 3036.11626469
21 10 8 3690700.00000000 80 1680 46133.75000000 2196.84523810
21 3 10 2744700.00000000 30 630 91490.00000000 4356.66666667
21 1 18 2680800.00000000 18 378 148933.33333333 7092.06349206
21 9 1 2569300.00000000 9 189 285477.77777778 13594.17989418
21 8 12 3505500.00000000 96 2016 36515.62500000 1738.83928571
21 5 1 2941700.00000000 5 105 588340.00000000 28016.19047619
21 9 3 3157400.00000000 27 567 116940.74074074 5568.60670194
22 7 10 4054900.00000000 70 1540 57927.14285714 2633.05194805
22 15 13 6380300.00000000 195 4290 32719.48717949 1487.24941725
22 21 5 4656600.00000000 105 2310 44348.57142857 2015.84415584
22 21 10 6823800.00000000 210 4620 32494.28571429 1477.01298701
22 16 10 5462900.00000000 160 3520 34143.12500000 1551.96022727
22 18 6 4844900.00000000 108 2376 44860.18518519 2039.09932660
22 21 20 6110100.00000000 420 9240 14547.85714286 661.26623377
22 6 12 3687000.00000000 72 1584 51208.33333333 2327.65151515
22 19 12 5085500.00000000 228 5016 22304.82456140 1013.85566188
22 1 20 2691700.00000000 20 440 134585.00000000 6117.50000000
23 22 19 5890600.00000000 418 9614 14092.34449761 612.71063033
23 20 22 7484500.00000000 440 10120 17010.22727273 739.57509881
23 2 3 3146700.00000000 6 138 524450.00000000 22802.17391304
23 19 3 3647200.00000000 57 1311 63985.96491228 2781.99847445
23 22 17 5687000.00000000 374 8602 15205.88235294 661.12531969
23 4 14 3511200.00000000 56 1288 62700.00000000 2726.08695652
23 20 14 6879500.00000000 280 6440 24569.64285714 1068.24534161
23 4 21 3479400.00000000 84 1932 41421.42857143 1800.93167702
23 4 23 3317500.00000000 92 2116 36059.78260870 1567.81663516
23 8 9 3333600.00000000 72 1656 46300.00000000 2013.04347826
24 6 11 3169900.00000000 66 1584 48028.78787879 2001.19949495
24 3 17 4228100.00000000 51 1224 82903.92156863 3454.33006536
24 23 10 5332500.00000000 230 5520 23184.78260870 966.03260870
24 3 17 3227500.00000000 51 1224 63284.31372549 2636.84640523
24 19 7 4208100.00000000 133 3192 31639.84962406 1318.32706767
24 20 9 4373800.00000000 180 4320 24298.88888889 1012.45370370
24 20 20 7529100.00000000 400 9600 18822.75000000 784.28125000
24 20 16 5849900.00000000 320 7680 18280.93750000 761.70572917
24 5 3 2831000.00000000 15 360 188733.33333333 7863.88888889
24 15 10 4344000.00000000 150 3600 28960.00000000 1206.66666667
25 7 18 4424900.00000000 126 3150 35118.25396825 1404.73015873
25 14 10 4291500.00000000 140 3500 30653.57142857 1226.14285714
25 9 4 2865800.00000000 36 900 79605.55555556 3184.22222222
25 12 22 5835600.00000000 264 6600 22104.54545455 884.18181818
25 3 17 3195300.00000000 51 1275 62652.94117647 2506.11764706
25 17 7 4047000.00000000 119 2975 34008.40336134 1360.33613445
25 15 24 6876000.00000000 360 9000 19100.00000000 764.00000000
25 14 14 5105600.00000000 196 4900 26048.97959184 1041.95918367
25 8 17 5438200.00000000 136 3400 39986.76470588 1599.47058824
25 19 4 4018400.00000000 76 1900 52873.68421053 2114.94736842
26 15 26 7308700.00000000 390 10140 18740.25641026 720.77909270
26 12 9 3857200.00000000 108 2808 35714.81481481 1373.64672365
26 10 2 2879500.00000000 20 520 143975.00000000 5537.50000000
26 24 8 5692700.00000000 192 4992 29649.47916667 1140.36458333
26 24 13 6157300.00000000 312 8112 19734.93589744 759.03599606
26 14 23 5862500.00000000 322 8372 18206.52173913 700.25083612
26 5 6 3219300.00000000 30 780 107310.00000000 4127.30769231
