n km kb millisegundos
45 38 25 13.50000000
45 20 18 6.50000000
45 30 38 13.80000000
45 34 44 17.80000000
45 42 24 12.70000000
45 4 6 3.70000000
46 29 6 5.20000000
46 24 37 11.90000000
46 14 33 7.80000000
46 44 39 21.00000000
46 33 9 6.00000000
46 36 4 4.70000000
46 33 16 8.40000000
46 13 14 4.90000000
46 29 17 8.20000000
46 29 19 8.70000000
47 24 44 14.30000000
47 15 6 4.90000000
47 22 10 5.30000000
47 38 22 10.80000000
47 31 33 13.20000000
47 1 7 3.60000000
47 34 44 18.20000000
47 10 7 3.90000000
47 43 19 11.50000000
47 35 32 15.00000000
48 33 12 6.30000000
48 7 25 5.70000000
48 24 28 10.00000000
48 39 45 21.10000000
48 18 1 3.60000000
48 38 39 18.00000000
48 21 2 3.70000000
48 23 18 7.80000000
48 17 11 5.20000000
48 48 43 24.60000000
49 30 15 7.20000000
49 18 22 6.80000000
49 16 27 7.00000000
49 32 12 7.30000000
49 5 14 4.20000000
49 17 8 4.60000000
49 15 20 6.50000000
49 30 34 12.50000000
49 21 10 5.30000000
49 39 43 19.90000000
50 12 30 6.90000000
50 46 5 5.80000000
50 50 22 13.60000000
50 25 34 11.70000000
50 33 17 9.00000000
50 5 44 5.80000000
50 41 35 17.70000000
50 22 26 8.60000000
50 28 15 7.10000000
50 16 36 9.10000000
51 51 14 11.90000000
51 23 25 9.60000000
51 17 49 12.00000000
51 44 20 12.40000000
51 47 41 22.50000000
51 44 38 19.60000000
51 20 15 6.00000000
51 44 20 12.40000000
51 22 39 12.10000000
51 38 2 4.40000000
52 37 47 21.70000000
52 47 33 19.10000000
52 27 48 16.30000000
52 7 46 6.80000000
52 5 27 4.50000000
52 16 19 6.60000000
52 36 34 16.70000000
52 8 28 5.40000000
52 1 8 3.60000000
52 42 29 15.30000000
53 13 34 7.10000000
53 38 8 7.20000000
53 33 36 15.10000000
53 15 7 4.40000000
53 12 29 6.50000000
53 6 11 4.30000000
53 41 7 6.90000000
53 18 40 10.60000000
53 47 28 17.50000000
53 33 14 7.20000000
54 11 43 8.00000000
54 43 23 14.70000000
54 11 39 8.00000000
54 51 18 12.30000000
54 9 5 3.50000000
54 40 45 22.70000000
54 18 12 5.10000000
54 43 31 15.50000000
54 3 3 3.60000000
54 20 17 6.80000000
55 45 42 23.90000000
55 1 41 4.10000000
55 7 16 4.50000000
55 41 41 21.30000000
55 12 14 4.80000000
55 44 6 6.00000000
55 9 6 3.80000000
55 24 48 15.20000000
55 4 42 5.20000000
55 30 25 10.10000000
56 21 53 15.00000000
56 9 26 5.00000000
56 6 40 5.80000000
56 10 2 3.70000000
56 10 41 7.50000000
56 40 18 10.10000000
56 49 10 9.30000000
56 29 10 6.50000000
56 56 53 35.10000000
56 35 54 23.10000000
57 26 54 17.40000000
57 56 51 33.60000000
57 32 23 10.70000000
57 43 39 21.20000000
57 47 29 17.00000000
57 53 17 14.60000000
57 38 51 22.20000000
57 25 42 14.20000000
57 9 24 5.50000000
57 57 29 20.40000000
58 33 27 13.40000000
58 42 45 23.60000000
58 34 27 12.30000000
58 4 22 4.70000000
58 50 42 26.10000000
58 50 2 5.10000000
58 17 19 7.10000000
58 49 20 14.20000000
58 28 20 9.30000000
58 29 53 20.70000000
59 47 45 25.50000000
59 56 30 22.10000000
59 36 20 10.80000000
59 27 15 7.40000000
59 35 33 15.50000000
59 38 31 15.00000000
59 21 1 3.70000000
59 7 5 3.90000000
59 55 24 17.80000000
59 11 29 6.80000000
60 44 31 17.30000000
60 30 14 7.50000000
60 19 7 4.50000000
60 14 35 9.10000000
60 29 41 15.00000000
60 14 10 4.60000000
60 13 37 7.90000000
60 5 18 4.30000000
60 43 33 17.80000000
60 1 43 4.40000000
61 38 58 26.90000000
61 44 46 24.90000000
61 35 17 9.40000000
61 54 1 4.50000000
61 43 27 15.00000000
61 57 27 19.80000000
61 38 21 11.10000000
61 49 37 23.60000000
61 23 36 12.80000000
61 5 36 5.50000000
62 13 55 11.40000000
62 57 18 13.50000000
62 12 34 8.10000000
62 25 25 9.90000000
62 29 62 23.50000000
62 48 41 24.60000000
62 36 26 12.10000000
62 20 10 5.20000000
62 14 24 6.80000000
62 25 55 18.20000000
63 61 6 9.00000000
63 36 6 6.10000000
63 40 24 14.00000000
63 33 52 21.80000000
63 56 6 7.50000000
63 26 2 4.20000000
63 39 14 9.10000000
63 4 61 6.60000000
63 23 14 6.80000000
63 22 58 16.30000000
64 58 33 25.10000000
64 43 16 10.30000000
64 36 12 7.90000000
64 7 53 7.50000000
64 42 59 30.40000000
64 45 10 9.30000000
64 8 50 8.60000000
64 44 63 34.50000000
64 13 29 7.30000000
64 50 10 9.10000000
65 11 17 5.30000000
65 33 51 21.90000000
65 46 50 28.80000000
65 32 63 26.60000000
65 26 37 13.10000000
65 13 65 13.00000000
65 50 41 27.00000000
65 24 2 3.90000000
65 24 5 4.80000000
65 42 32 17.70000000
66 48 25 15.60000000
66 57 44 30.30000000
66 66 15 14.00000000
66 29 63 24.10000000
66 20 25 8.20000000
66 46 37 21.60000000
66 7 18 4.60000000
66 28 47 18.00000000
66 55 32 23.20000000
66 3 35 4.70000000
67 49 49 30.50000000
67 46 66 38.70000000
67 29 15 8.30000000
67 6 5 3.90000000
67 61 49 36.70000000
67 26 27 10.00000000
67 24 1 3.60000000
67 43 13 9.20000000
67 60 5 7.20000000
67 9 55 10.10000000
68 57 3 6.20000000
68 23 61 20.70000000
68 13 22 6.20000000
68 56 57 39.70000000
68 54 63 42.70000000
68 15 43 10.40000000
68 30 14 8.30000000
68 28 20 9.50000000
68 54 29 20.70000000
68 62 42 32.80000000
69 12 38 8.30000000
69 56 30 22.80000000
69 40 53 27.80000000
69 54 21 17.10000000
69 61 8 9.80000000
69 32 20 10.20000000
69 56 59 42.10000000
69 23 69 23.50000000
69 39 8 7.60000000
69 17 59 15.00000000
70 11 40 8.30000000
70 23 24 9.10000000
70 51 38 25.30000000
70 43 3 5.50000000
70 1 54 4.80000000
70 44 62 34.60000000
70 53 44 29.20000000
70 44 66 36.10000000
70 2 63 5.50000000
70 4 4 3.90000000
71 63 46 36.70000000
71 35 48 21.60000000
